# Data extracted from the following webpage
# Unfortunately, I didn't find more accurate or more precise data.
#
# http://rip94550.wordpress.com/2009/10/26/color-from-spectrum-to-tristimulus/
# |  Wavelength in nm
#       | red cones
#                   | green cones
#                            | blue cones
380     0.0014      0.0      0.0065
400     0.0143      0.0004   0.0679
420     0.1344      0.004    0.6456
440     0.3483      0.023    1.7471
460     0.2908      0.06     1.6692
480     0.0956      0.139    0.813
500     0.0049      0.323    0.272
520     0.0633      0.71     0.0782
540     0.2904      0.954    0.0203
560     0.5945      0.995    0.0039
580     0.9163      0.87     0.0017
600     1.0622      0.631    0.0008
620     0.8544      0.381    0.0002
640     0.4479      0.175    0
660     0.1649      0.061    0
680     0.0468      0.017    0
700     0.0114      0.0041   0
720     0.0029      0.001    0
740     0.0007      0.0003   0
760     0.0002      0.0001   0
